,japanese,English
828,静か,"shizuka - quiet, tranquil"
829,健康,kenkou - health
830,ゴルフ,gorufu - golf
831,コース,"ko-su - course, route"
832,頼む,"tanomu - order, ask for"
833,困る,"komaru - be in trouble, not know what to do"
834,ずっと,"zutto - all the time, all through"
835,例えば,tatoeba - for example
836,つもり,"tsumori - intention, purpose"
837,しばらく,"shibaraku - a little while, a while"
838,紹介,shoukai - introduction
839,小学校,shougakkou - elementary school
840,公園,"kouen - park, public garden"
841,中学,chuugaku - junior high
842,成績,"seiseki - results, grade"
843,教科書,"kyoukasho - textbook, schoolbook"
844,席,"seki - seat, one’s place"
845,教室,"kyoushitsu - classroom, class"
846,教師,"kyoushi - teacher, instructor"
847,試験,shiken - exam
848,合格,goukaku - pass an examination
849,数学,suugaku - mathematics
850,数字,suuji - numeric characters
851,音楽,ongaku - music
852,食事,shokuji - meal
853,壁,"kabe - wall, partition"
854,信じる,"shinjiru - believe, trust"
855,育てる,"sodateru - bring up, raise"
856,倒れる,taoreru - fall over
857,落とす,otosu - drop
858,代わる,"kawaru - substitute, be substituted for"
859,タクシー,takushi- - taxi
860,確か,"tashika - for sure, for certain"
861,立てる,"tateru - stand, set up"
862,中学生,chuugakusei - junior high school student
863,売れる,"ureru - sell, be in demand"
864,着く,"tsuku - arrive at, reach"
865,決まる,kimaru - be decided
866,飾る,kazaru - decorate
867,殺す,korosu - kill
868,下げる,"sageru - lower, turn down"
869,贈る,"okuru - offer, give"
870,訪ねる,"tazuneru - visit, go to see"
871,打つ,"utsu - hit, strike"
872,相談,"soudan - consultation, advice"
873,玄関,"genkan - entrance, door"
874,兄弟,kyoudai - sibling
875,長男,chounan - eldest son
876,高さ,takasa - height
877,用,you - things to do
878,時代,"jidai - age, era"
879,位置,"ichi - position, location"
880,季節,kisetsu - season
881,穴,ana - hole
882,裏,"ura - the back, the reverse side"
883,島,shima - island (Japanese origin)
884,海岸,"kaigan - seashore, coast"
885,ガラス,garasu - glass (material)
886,自然,shizen - natural
887,風,kaze - wind
888,科学,kagaku - science
889,太陽,taiyou - sun
890,台風,taifuu - typhoon
891,北,kita - north
892,馬,uma - horse
893,牛肉,gyuuniku - beef
894,雑誌,"zasshi - magazine, journal"
895,小説,shousetsu - novel
896,大使館,taishikan - embassy
897,故障,"koshou - malfunction, breakdown"
898,温度,ondo - temperature
899,何か,"nanika - something, some"
900,向こう,"mukou - over there, on the other side"
901,真ん中,"mannaka - center, middle (casual)"
902,遠く,"tooku - far away, at a distance"
903,横,"yoko - side, width across"
904,つまらない,"tsumaranai - boring, dull"
905,素晴らしい,"subarashii - excellent, wonderful"
906,毎年,maitoshi/ mainen - every year (colloquial)
907,来月,raigetsu - next month
908,日時,nichiji - date and time
909,夕方,"yuugata - early evening, at dusk"
910,通る,"tooru - pass, go through"
911,自動車,jidousha - automobile
912,慣れる,"nareru - grow accustomed to, get used to"
913,撮る,"toru - take (a photograph), film"
914,やっと,"yatto - at last, finally"
915,どんどん,"dondon - knock, bang"
916,並べる,"naraberu - line up, arrange"
917,逃げる,"nigeru - escape, run away"
918,渡す,"watasu - hand over, give"
919,値段,nedan - price
920,両方,ryouhou - both
921,約束,"yakusoku - promise, vow"
922,一部,ichibu - part
923,ラジオ,rajio - radio
924,入院,nyuuin - be hospitalized
925,ニュース,nyu-su - news
926,旅行,"ryokou - travel, trip"
927,用意,youi - preparation
928,伸びる,"nobiru - stretch, grow"
929,パーティー,pa-ti- - party
930,ビール,bi-ru - beer
931,早く,"hayaku - early, soon"
932,番組,bangumi - program
933,ビデオ,bideo - video
934,増やす,fuyasu - increase
935,振る,"furu - wave, shake"
936,迎える,"mukaeru - welcome, receive (a visitor)"
937,無理,"muri - unreasonable, impossible"
938,珍しい,"mezurashii - rare, scarce"
939,有名,yuumei - famous
940,喜ぶ,"yorokobu - be happy, be delighted"
941,留学,ryuugaku - study abroad
942,料理,ryouri - cooking
943,野菜,yasai - vegetable
944,分かれる,"wakareru - be divided, split off"
945,特別,tokubetsu - special
946,理由,"riyuu - reason, excuse"
947,自由,jiyuu - freedom
948,方向,"houkou - direction, course"
949,残る,"nokoru - remain, be left over"
950,ビル,biru - building
951,まとめる,"matomeru - gather together, put in order"
952,流れる,"nagareru - flow, run"
953,セーター,se-ta- - sweater
954,シャツ,shatsu - shirt
955,洗濯,"sentaku - laundry, washing"
956,間違える,"machigaeru - make a mistake, fail at"
957,アイスクリーム,aisukuri-mu - ice cream
958,乾く,kawaku - become dry
959,冷める,sameru - cool off
960,色々,iroiro - a variety of
961,持って行く,"motteiku - take, bring"
962,着替える,kigaeru - change clothes
963,石鹸,sekken - soap
964,野球,yakyuu - baseball
965,昼食,chyuushoku - lunch
966,朝食,choushoku - breakfast
967,眠る,"nemuru - sleep, lie idle"
968,初め,hajime - beginning
969,火,"hi - fire, flame"
970,西,"nishi - west, western"
971,東,"higashi - east, eastern"
972,南,minami - south
973,夕食,"yuushoku - supper, dinner"
974,なかなか,"nakanaka - rather, pretty"
975,励ます,"hagemasu - encourage, cheer up"
976,涙,namida - tear
977,夢,yume - dream
978,職場,"shokuba - place of work, office"
979,隣,"tonari - next to, next door"
980,マンション,"manshon - apartment, residential building"
981,エレベーター,erebe-ta- - elevator
982,窓,mado - window
983,押す,"osu - push, press down"
984,入学,"nyuugaku - enter a school, matriculate"
985,戸,"to - door, sliding door"
986,通り,"toori - street, road"
987,亡くなる,"nakunaru - die, pass away"
988,夫婦,"fuufu - husband and wife, married couple"
989,女性,"josei - woman, female (formal)"
990,森,mori - forest
991,トラック,torakku - truck
992,レコード,reko-do - record
993,熱,"netsu - heat, fever"
994,ページ,pe-ji - page
995,踊る,odoru - dance
996,長さ,nagasa - length
997,厚さ,atsusa - thickness
998,秘密,"himitsu - secret, privacy"
999,凄い,"sugoi - great, incredible"
1000,親切,"shinsetsu - kind, kindhearted"
1001,絶対,"zettai - absolutely, never"
1002,先月,sengetsu - last month
1003,一昨年,ototoshi - the year before last (colloquial)
1004,冬休み,fuyuyasumi - winter vacation
1005,夏休み,natsuyasumi - summer vacation
1006,休日,"kyuujitsu - day off, holiday"
1007,正月,"shougatsu - New Year, January"
1008,思い出,omoide - memory
1009,たまに,"tamani - occasionally, by chance"
1010,おかしい,"okashii - strange, peculiar"
1011,浅い,"asai - shallow, superficial"
1012,君,kimi - you (referring to fellows or subordinates)
1013,奥さん,"okusan - (somone else’s) wife, married woman"
1014,赤ちゃん,akachan - baby (colloquial)
1015,小学生,shougakusei - elementary school student
1016,貸す,"kasu - lend, lease"
1017,数える,kazoeru - count
1018,生む,"umu - give birth, produce"
1019,育つ,"sodatsu - be brought up, grow"
1020,是非,"zehi - by all means, please"
1021,黒,kuro - black
1022,おもちゃ,"omocha - toy, plaything"
1023,靴,kutsu - shoes
1024,連絡,"renraku - contact, communication"
1025,伝言,dengon - message
1026,預ける,"azukeru - deposit, leave (something) with (someone)"
1027,下がる,"sagaru - go down, drop"
1028,泳ぐ,oyogu - swim
1029,アルバイト,arubaito - part-time job
1030,コート,"ko-to - coat, jacket (loan word)"
1031,趣味,"shumi - hobby, interest"
1032,散歩,"sanpo - walk, stroll"
1033,幸せ,"shiawase - happiness, satisfied (colloquial)"
1034,安心,"anshin - peace of mind, relief"
1035,大勢,"oozei - large numbers, a lot of (people)"
1036,医者,"isha - doctor (colloquial, plain)"
1037,運転手,untenshu - driver
1038,新幹線,shinkansen - bullet train
1039,往復,oufuku - round trip
1040,コピー,"kopi- - copy, photocopy"
1041,奥,"oku - inner part, the back"
1042,重さ,omosa - weight
1043,親しい,"shitashii - intimate, familiar"
1044,修理,"shuuri - repair, mending"
1045,カード,ka-do - card
1046,挨拶,"aisatsu - greet, greeting"
1047,階段,"kaidan - steps, flight of stairs"
1048,配る,"kubaru - hand out, distribute"
1049,断る,"kotowaru - refuse, turn down"
1050,グラム,guramu - gram
1051,濃い,"koi - strong, concentrated"
1052,壊す,"kowasu - break (something), destroy"
1053,桜,"sakura - cherry tree, cherry blossom"
1054,仕方,"shikata - way, method"
1055,絵,"e - picture, painting"
1056,気温,kion - air temperature
1057,品物,"shinamono - article, goods"
1058,吸う,"suu - inhale, suck"
1059,案内,"annai - guide, guidance"
1060,スキー,"suki- - ski, skiing"
1061,金持ち,kanemochi - wealthy person
1062,尋ねる,"tazuneru - inquire, ask"
1063,叩く,"tataku - tap, hit"
1064,帰り,"kaeri - return, going home"
1065,卵,tamago - egg
1066,氷,koori - ice
1067,留学生,ryuugakusei - student studying abroad
1068,ソフト,"sofuto - software, program"
1069,歯医者,haisha - dentist
1070,蹴る,keru - kick
1071,敷く,"shiku - lay, spread"
1072,ひととき,"hitotoki - some moments, a while"
1073,交通事故,koutsuujiko - traffic accident
1074,遭う,"au - meet, encounter, get caught in"
1075,招待,shoutai - invitation
1076,咲く,"saku - bloom, blossom"
1077,二十歳,hatachi - 20 years old
1078,銀,gin - silver
1079,内側,"uchigawa - inside, interior"
1080,池,ike - pond
1081,石,"ishi - stone, small rock"
1082,愛,ai - love
1083,課,"ka - section, division"
1084,大学院,daigakuin - graduate school
1085,台所,daidokoro - kitchen
1086,カラー,kara- - color (loan word)
1087,すり,suri - pickpocket
1088,キャンプ,"kyanpu - camping, camp"
1089,オートバイ,"o-tobai - motorbike, motorcycle"
1090,建つ,"tatsu - be built, be erected"
1091,刺す,"sasu - sting, stab"
1092,言い方,"iikata - way of speaking, expression"
1093,沈む,shizumu - sink
1094,組み立てる,"kumitateru - set up, put together"
1095,恐ろしい,"osoroshii - terrible, awful"
1096,外人,"gaijin - foreigner, alien"
1097,牛,"ushi - cattle, cow"
1098,食堂,"shokudou - cafeteria, restaurant"
1099,毎年,mainen - every year (formal)
1100,毎週,maishuu - every week
1101,何度,"nando - how many times, how many degrees"
1102,なかなか,"nakanaka - not easily, not readily"
1103,さっき,"sakki - earlier, only a moment ago"
1104,久しぶり,hisashiburi - after a long time
1105,便利,benri - convenience
1106,迷惑,"meiwaku - trouble, annoyance"
1107,そんなに,sonnani - so much
1108,びっくりする,"bikkurisuru - be surprised, be startled (casual)"
1109,足りる,"tariru - suffice, be enough"
1110,疲れる,"tsukareru - get tired, become fatigued"
1111,ひどい,"hidoi - cruel, awful"
1112,全然,zenzen - (not ) at all
1113,猫,neko - cat
1114,デパート,depa-to - department store (loan word)
1115,トイレ,toire - toilet
1116,地下鉄,chikatetsu - subway
1117,駐車場,"chuushajou - parking area, parking lot"
1118,ぶつかる,"butsukaru - hit, bump into"
1119,運賃,unchin - (passenger) fare
1120,通学,tsuugaku - commuting to school
1121,見送る,miokuru - see (someone) off
1122,泣く,"naku - cry, weep"
1123,レストラン,resutoran - restaurant
1124,メモ,"memo - memo, note"
1125,予約,"yoyaku - reservation, appointment"
1126,番号,bangou - assigned number
1127,注文,chuumon - order
1128,パン,pan - bread
1129,ワイン,wain - wine
1130,材料,"zairyou - material, ingredient"
1131,豚肉,butaniku - pork
1132,焼く,"yaku - bake, grill"
1133,匂い,"nioi - (pleasant) smell, odor"
1134,付ける,"tsukeru - attach, apply, put"
1135,痩せる,"yaseru - lose weight, become thin"
1136,届ける,todokeru - deliver
1137,間に合う,"maniau - be in time, suffice"
1138,向く,"muku - turn, face"
1139,強さ,tsuyosa - strength
1140,得意,"tokui - one’s specialty, be good at"
1141,塗る,"nuru - spread on, paint"
1142,投げる,nageru - throw
1143,習う,"narau - learn, take lessons"
1144,注目,"chuumoku - attention, notice"
1145,未来,mirai - future
1146,箱,"hako - box, case"
1147,右手,migite - right hand
1148,左手,hidarite - left hand
1149,プール,pu-ru - pool
1150,ピアノ,piano - piano
1151,光る,"hikaru - shine, emit light, sparkle"
1152,踏む,"fumu - step on, tread on"
1153,別々,betsubetsu - separately
1154,ボール,bo-ru - ball
1155,握る,"nigiru - grasp, grip, hold"
1156,真っ赤,makka - deep red
1157,拾う,hirou - pick up
1158,回す,"mawasu - turn, rotate (something)"
1159,ノート,no-to - notebook (loan word)
1160,辞める,"yameru - resign, leave (one’s job), quit"
1161,揺れる,"yureru - shake, sway"
1162,立派,"rippa - fine, elegant"
1163,練習,"renshuu - practice, training"
1164,割る,"waru - divide, split"
1165,部分,"bubun - part, section"
1166,拭く,"fuku - wipe, dry"
1167,招く,maneku - invite
1168,急,"kyuu - urgent, steep"
1169,汚れる,yogoreru - become dirty
1170,渡る,"wataru - cross, go across"
1171,途中,"tochuu - on the way, half way"
1172,インタビュー,intabyu- - interview (loan word)
1173,盗む,"nusumu - steal, rob"
1174,普段,"fudan - usual, ordinary"
1175,旅館,ryokan - Japanese inn
1176,博物館,hakubutsukan - museum
1177,ホーム,ho-mu - platform (for short)
1178,引っ越す,"hikkosu - move, relocate"
1179,荷物,"nimotsu - baggage, load"
1180,家賃,yachin - rent
1181,計画,keikaku - plan
1182,廊下,"rouka - hallway, corridor"
1183,天井,tenjou - ceiling
1184,ベッド,beddo - bed
1185,ソファー,"sofa- - sofa, couch"
1186,屋根,yane - roof
1187,祭り,matsuri - festival
1188,離婚,rikon - divorce
1189,葉,ha - leaf
1190,ボート,"bo-to - light boat, small craft"
1191,燃える,"moeru - burn, catch on fire"
1192,巻く,"maku - roll up, wrap"
1193,プラスチック,purasuchikku - plastic
1194,訪れる,otozureru - go and visit (place)
1195,破る,"yaburu - tear, breach"
1196,関係,"kankei - relation, relationship"
1197,録音,rokuon - (sound) recording
1198,不幸,"fukou - unhappiness, misfortune"
1199,外国語,gaikokugo - language
1200,着物,kimono - traditional Japanese clothes
1201,牛乳,gyuunyuu - milk
1202,救急車,kyuukyuusha - ambulance
1203,果物,kudamono - fruit
1204,間違い,"machigai - mistake, error"
1205,映画館,eigakan - movie theater
1206,怖い,"kowai - scary, be afraid"
1207,鏡,kagami - mirror
1208,草,"kusa - grass, weed"
1209,敬語,keigo - polite speech
1210,欠席,kesseki - absence
1211,スイッチ,suicchi - switch
1212,掃除,souji - cleaning
1213,畳,tatami - straw mat
1214,速さ,hayasa - speed
1215,林,"hayashi - woods, forest"
1216,プレゼント,purezento - present (loan word)
1217,弁当,bentou - boxed lunch
1218,いつでも,"itsudemo - at all times, any time"
1219,寂しい,"sabishii - lonely, desolate, sad"
1220,少しも,sukoshimo - (not) in the least
1221,尊敬,"sonkei - respect, esteem"
1222,テニス,tenisu - tennis
1223,広さ,"hirosa - area, extent"
1224,読み,yomi - reading
1225,我慢,"gaman - patience, endurance"
1226,国籍,"kokuseki - nationality, citizenship"
1227,恥ずかしい,"hazukashii - embarrassed, ashamed"
1228,ボタン,botan - button
1229,洋服,youfuku - (western-style) clothes
1230,油,abura - oil
1231,おかしい,"okashii - funny, comical"
1232,余る,"amaru - remain, be in excess"
1233,コート,ko-to - sports court
1234,正直,"shoujiki - honest, upright"
1235,ドラマ,dorama - drama
1236,ビザ,biza - visa
1237,水道,suidou - tap water
1238,店員,"tenin - clerk, salesperson"
1239,電池,denchi - battery
1240,ポケット,poketto - pocket
1241,握手,akushu - handshake
1242,そろそろ,"sorosoro - soon, it’s about time"
1243,ぶどう,budou - grapes
1244,迷う,mayou - get lost
1245,見物,"kenbutsu - sightseeing, visit"
1246,知らせる,"shiraseru - let know, inform"
1247,神社,jinja - Shinto shrine
1248,注射,"chuusha - injection, shot"
1249,めったに,"mettani - rarely, seldom"
1250,作文,"sakubun - composition, essay"
1251,鳴る,"naru - sound, ring"
1252,真面目,majime - serious and sincere
1253,申し込む,"moushikomu - apply, sign up"
1254,冷蔵庫,reizouko - refrigerator
1255,気に入る,"kiniiru - like, be pleased with"
1256,クリスマス,kurisumasu - Christmas
1257,ネクタイ,"nekutai - tie, necktie"
1258,誕生日,tanjoubi - birthday
1259,独身,"dokushin - single, unmarried"
1260,苦い,nigai - bitter
1261,バイオリン,baiorin - violin
1262,バッグ,baggu - bag
1263,今まで,imamade - until now
1264,切符,kippu - ticket
1265,ゴム,"gomu - elastic, rubber"
1266,少々,"shoushou - a little, a bit"
1267,随分,"zuibun - extremely, considerably"
1268,引っ張る,"hipparu - pull, drag"
1269,焼ける,"yakeru - burn, cook"
1270,鉛筆,enpitsu - pencil
1271,会話,kaiwa - conversation
1272,ギター,gita- - guitar
1273,茶,cha - tea
1274,暑さ,atsusa - heat (of weather)
1275,胃,i - stomach
1276,禁煙,kinen - non-smoking
1277,丸い,marui - round
1278,写る,utsuru - be photographed
1279,喫茶店,"kissaten - coffee shop, café"
1280,やっぱり,"yappari - just as I thought, after all"
1281,週刊誌,shuukanshi - weekly magazine
1282,棚,"tana - shelf, rack"
1283,震える,"furueru - tremble, shake"
1284,磨く,"migaku - polish, grind"
1285,カーテン,ka-ten - curtain
1286,火事,"kaji - fire, blaze"
1287,ナイフ,naifu - knife
1288,皆さん,"minasan - everybody, everyone (polite)"
1289,受ける,"ukeru - receive, take, undergo"
1290,付く,"tsuku - stick to, cling to"
1291,私,watakushi - I (formal)
1292,結構,kekkou - quite
1293,悪口,"warukuchi - slander, abuse"
1294,広まる,"hiromaru - spread, get around"
1295,内緒,"naisho - secrecy, privacy"
1296,つぶる,tsuburu - close (eyes)
1297,用件,"youken - matter, things to be done"
1298,ロマンチック,romanchikku - romantic
1299,貯金,"chokin - savings, deposit"
1300,バイク,baiku - motorcycle
1301,預かる,"azukaru - take care of, keep"
1302,オレンジ,orenji - orange
1303,噛む,"kamu - bite, chew"
1304,きつい,"kitsui - tight, tough"
1305,越える,"koeru - go over, go across"
1306,小包,"kodutsumi - parcel, package"
1307,新年,shinnen - new year
1308,配達,haitatsu - delivery
1309,動物園,doubutsuen - zoo
1310,封筒,fuutou - envelope
1311,危ない,abunai - dangerous
1312,テキスト,"tekisuto - text, textbook"
1313,ビニール,"bini-ru - plastic, vinyl"
1314,アルバム,arubamu - album
1315,水泳,suiei - swimming
1316,混む,"komu - be crowded, be congested"
1317,スカート,suka-to - skirt
1318,取れる,"toreru - come off, be removed"
1319,ペン,pen - pen
1320,物,"mono - thing, object"
1321,郵便,"yuubin - mail service, postal mail"
1322,割れる,"wareru - crack, split"
1323,駅員,ekiin - station attendant
1324,おしゃべり,"oshaberi - talkative, chatty"
1325,緑色,midoriiro - green color
1326,毎朝,maiasa - every morning
1327,曲げる,mageru - bend (something)
1328,きっと,"kitto - surely, certainly"
1329,理科,rika - science (school subject)
1330,下着,shitagi - underwear
1331,太る,"futoru - grow fat, gain weight"
1332,冷房,reibou - air conditioning (cooling)
1333,別れる,"wakareru - separate, part"
1334,空く,aku - become available or vacant
1335,出掛ける,"dekakeru - go out, leave home"
1336,毎晩,maiban - every evening
1337,指輪,yubiwa - ring
1338,腐る,"kusaru - rot, go bad"
1339,貧乏,"binbou - poverty, destitution"
1340,おしゃれ,"oshare - trendy, fashionable"
1341,休憩,kyuukei - break
1342,舌,shita - tongue
1343,ジュース,ju-su - juice
1344,ゼロ,"zero - zero, none (loan word)"
1345,朝刊,choukan - morning edition paper
1346,丁寧,"teinei - polite, careful"
1347,苦手,"nigate - not good at, be bad at"
1348,日,"hi - (specific) day, sun, daytime"
1349,引っ越し,hikkoshi - moving (house)
1350,歩道,"hodou - sidewalk, pavement"
1351,折れる,"oreru - break, snap"
1352,見送り,miokuri - send-off
1353,夕刊,yuukan - evening edition paper
1354,この間,"konoaida - the other day, not so long ago"
1355,冷える,"hieru - cool down, get chilled"
1356,ピンク,pinku - pink
1357,グラス,gurasu - glass
1358,毛,"ke - hair, down"
1359,黒板,kokuban - blackboard
1360,積もる,tsumoru - pile up
1361,半年,hantoshi - half a year
1362,現在,"genzai - the present, present time"
1363,利用,"riyou - utilization, usage"
1364,方法,"houhou - method, procedure"
1365,中心,"chuushin - center (of a circle, etc.), core"
1366,明らか,"akiraka - clear, obvious"
1367,社長,shachou - president (of a company)
1368,ほぼ,"hobo - almost, nearly"
1369,商品,"shouhin - goods, commodities"
1370,大型,"oogata - large, large scale"
1371,限る,kagiru - be limited to
1372,記録,"kiroku - record, documentation"
1373,具体的,"gutaiteki - concrete, specific"
1374,効果,"kouka - effect, result"
1375,公開,koukai - opening (to the public)
1376,作品,"sakuhin - work of art, creation"
1377,迫る,"semaru - close in on, approach"
1378,大会,"taikai - tournament, event"
1379,背景,"haikei - background, backdrop"
1380,文字,"moji - character, letter, writing"
1381,規則,"kisoku - rule, regulation"
1382,近所,kinjo - neighborhood
1383,グラフ,"gurapu - chart, graph"
1384,首都,shuto - capital
1385,減らす,herasu - reduce (something)
1386,隠れる,kakureru - hide
1387,美術館,bijutsukan - art museum
1388,ばか,"baka - foolish, stupid"
1389,暇,"hima - free time, spare time"
1390,絵葉書,ehagaki - picture postcard
1391,あんなに,"annani - that much, such"
1392,行き,"iki - going, bound for"
1393,通勤,tsuukin - commute
1394,ちゃんと,"chanto - correctly, properly"
1395,のんびり,nonbiri - take it easy
1396,緊張,"kinchou - tension, strain"
1397,気付く,"kiduku - notice, realize"
1398,物語,"monogatari - story, tale"
1399,出口,deguchi - exit
1400,登る,"noboru - climb, go up"
1401,真っ白,masshiro - pure-white
1402,下ろす,"orosu - bring down, take down"
1403,貸し出す,"kashidasu - lend, lend out"
1404,サッカー,"sakka- - soccer, football"
1405,暖房,danbou - heating
1406,手袋,tebukuro - gloves
1407,留守,rusu - not at home
1408,嘘,uso - lie
1409,遠慮,"enryo - restraint, hold back"
1410,折る,"oru - break (something), fold (something)"
1411,スープ,su-pu - soup
1412,バナナ,banana - banana
1413,可哀相,"kawaisou - poor, pitiful"
1414,パトカー,patoka- - police car
1415,ハンバーガー,hanba-ga- - hamburger
1416,毛布,moufu - blanket
1417,エスカレーター,esukare-ta- - escalator
1418,お嬢さん,"ojousan - young lady, daughter"
1419,手帳,techou - pocket notebook
1420,タオル,taoru - towel
1421,売店,"baiten - booth, shop"
1422,パチンコ,pachiko - pachinko (Japanese pinball)
1423,謝る,ayamaru - apologize
1424,ケーキ,ke-ki - cake
1425,天気予報,tenkiyohou - weather forecast
1426,変,"hen - strange, weird"
1427,一生懸命,"isshoukenmei - hard-working, doing one’s best"
1428,間違う,"machigau - make a mistake, be wrong"
1429,事務室,jimushitsu - office
1430,スーツ,su-tsu - suit
1431,チケット,chiketto - ticket (loan word)
1432,チョコレート,chokore-to - chocolate
1433,脱ぐ,nugu - take off (clothes)
1434,年賀状,nenkajou - New Year’s card
1435,乗り物,"norimono - vehicle, transportation"
1436,布団,futon - Japanese-style padded mattress
1437,役に立つ,"yakunitatsu - be useful, be helpful"
1438,破れる,"yabureru - tear, rip open"
1439,用事,"youji - errand, business"
1440,写す,"utsusu - copy, photograph"
1441,腕時計,udedokei - wrist watch
1442,贈り物,"okurimono - present, gift"
1443,チャンネル,channeru - channel
1444,冷やす,"hiyasu - chill (something), cool down"
1445,片付ける,"katazukeru - put in order, clean up"
1446,乾杯,"kanpai - toast, drink (in celebration)"
1447,停車,teisha - stop (of a train)
1448,鳴く,"naku - sing, cry (of animals)"
1449,ガソリンスタンド,gasorinsutando - gas station
1450,片道,katamichi - one way (trip)
1451,交番,kouban - police box
1452,大分,"daibu - greatly, fairly, highly"
1453,デート,"de-to - date, romantic meeting"
1454,梅雨,tsuyu - rainy season
1455,真っ直ぐ,massugu - straight
1456,レモン,remon - lemon
1457,上着,"uwagi - outerwear, coat, jacket"
1458,偉い,"erai - great, eminent"
1459,書き方,"kakikata - how to write, way of writing"
1460,炊く,taku - cook (rice)
1461,チーズ,chi-zu - cheese
1462,ドライブ,doraibu - drive (loan word)
1463,踏切,fumikiri - railroad crossing
1464,ラケット,raketto - racket
1465,受付,"uketsuke - receptionist, information office"
1466,怒る,"okoru - get angry, scold"
1467,化粧,keshou - makeup
1468,都合,"tsugou - convenience, availability"
1469,ひげ,"hige - beard, moustache"
1470,本棚,"hondana - bookshelf, bookcase"
1471,真っ暗,makkura - pitch-dark
1472,沸く,"waku - boil, get loud (crowd applause etc.)"
1473,売り切れる,"urikireru - sell out, go out of stock"
1474,押し入れ,oshiire - sliding-door closet
1475,革,kawa - leather
1476,ぐっすり,gussuri - soundly
1477,紅茶,koucha - black tea
1478,邪魔,"jama - disturbance, blocking"
1479,ソース,so-su - sauce
1480,足す,tasu - add (things of the same kind)
1481,トマト,tomato - tomato
1482,バター,bata- - butter
1483,発車,hassha - departure (of a vehicle)
1484,バレーボール,bare-ho-ru - volleyball
1485,おかず,okazu - dishes to go with the rice
1486,カレンダー,karenda- - calendar
1487,とにかく,"tonikaku - in any case, anyway"
1488,楽しみ,"tanoshimi - enjoyment, something looked forward to"
1489,おしゃべり,"oshaberi - chatter, idle talk"
1490,読書,dokusho - reading books
1491,寒気,samuke - chill
1492,夕焼け,yuuyake - sunset glow
1493,傷める,"itameru - damage, hurt"
1494,くすぐったい,kusuguttai - ticklish
1495,泥棒,"dorobou - thief, burglar"
1496,襖,fusuma - paper sliding door
1497,美人,bijin - beautiful woman
1498,タイプライター,taipuraita- - typewriter
1499,再来年,sarainen - the year after next
1500,冗談,joudan - joke
1501,近付く,"chikaduku - approach, come close"
1502,電話帳,denwachou - telephone book
1503,ベル,beru - bell
1504,干す（ほす）,hosu - hang (something) out to dry
1505,金額,"kingaku - amount of money, sum"
1506,蚊,ka - mosquito
1507,悲しむ,"kanashimu - feel sad, lament"
1508,クーラー,ku-ra- - air conditioner (cooling)
1509,失礼,"shitsurei - rudeness, to excuse oneself"
1510,洗濯機,"sentakuki - washing machine, washer"
1511,豆腐,toufu - tofu
1512,昼寝,hirune - nap
1513,不便,fuben - inconvenient
1514,ミルク,miruku - milk (loan word)
1515,向こう側,mukougawa - other side
1516,億,oku - hundred million
1517,お礼,"orei - thanks, gratitude"
1518,着せる,kiseru - dress (someone)
1519,サラダ,sarada - salad
1520,代える,kaeru - substitute for
1521,四角,shikaku - square
1522,急行,kyukou - express train
1523,交差点,"kousaten - crossing, intersection"
1524,覚める,"sameru - awake, wake up (naturally)"
1525,昼休み,hiruyasumi - lunch break
1526,ベルト,beruto - belt
1527,真っ黒,"makkuro - black, jet-black"
1528,皆様,"minasama - everyone, ladies and gentlemen"
1529,ラーメン,ra-men - ramen (Chinese noodles)
1530,ライター,raita- - lighter
1531,ワイシャツ,"waishatsu - business shirt, dress shirt"
1532,転ぶ,"korobu - fall down, fall over"
1533,シャワー,shawa- - shower
1534,扇風機,senpuuki - electric fan
1535,遅刻,"chikoku - tardiness, lateness"
1536,釣る,"tsuru - fish, catch"
1537,うどん,udon - Japanese wheat noodles
1538,仮名,kana - kana
1539,記念日,"kinenbi - memorial day, anniversary"
1540,下り,"kudari - downhill, going down"
1541,掲示板,"keijiban - notice board, bulletin board"
1542,凍る,kooru - freeze
1543,スーパーマーケット,su-pa-ma-ketto - supermarket
1544,ぶらぶら,"burabura - wander, walk around"
1545,アナウンサー,anaunsa- - announcer
1546,自炊,jisui - cooking (for oneself)
1547,止める,tomeru - stop (something/someone)
1548,年下,"toshishita - younger, junior"
1549,治す,naosu - cure (something)
1550,箸,hashi - chopsticks
1551,花見,hanami - flower viewing
1552,引き出し,hikidashi - drawer
1553,訳,yaku - translation
1554,いかが,ikaga - how
1555,交通費,"koutsuuhi - traveling expense, transportation fee"
1556,ステレオ,sutereo - stereo
1557,再会,"saikai - meeting again, reunion"
1558,滑る,"suberu - slide, slip"
1559,早口,hayakuchi - speaking fast
1560,裏返す,"uragaesu - turn over, turn inside out"
1561,角,"kado - corner, edge"
1562,きらきら,"kirakira - sparkling, glittering"
1563,三角,"sankaku - figure, area etc."
1564,激しい,"hageshii - violent, intense"
1565,経営,"keiei - management, operation"
1566,拡大,"kakudai - magnification, enlargement"
1567,姿勢,"shisei - posture, attitude"
1568,周辺,"shuuhen - area, region"
1569,他,ta - other (Chinese origin)
1570,達する,"tassuru - attain, reach"
1571,当時,touji - at that time
1572,当然,"touzen - natural, as a matter of course"
1573,能力,"nouryoku - capability, performance ability of machine, etc."
1574,判断,"handan - judgment, decision"
